ID,Aware_M,Aware_P,Aware_T,Aware_B,Aware_MV,Strong_M,Strong_P,Strong_T,Strong_B,Strong_MV,Known_M,Known_P,Known_T,Known_B,Known_MV,Attr_M,Attr_P,Attr_T,Attr_B,Attr_MV,Dr_1,Dr_2,Dr_3,Dr_4,Dr_5,Dr_6,Dr_7,Dr_8,Dr_9,Dr_10,Dr_11,Dr_12,Dr_13,Dr_14,Dr_15,HowLong,NPS,Prod_data,Prod_sms,Prod_call,Prod_extra,Prod_other,Cont_winkel,Cont_tel,Cont_mail,Cont_social,Cont_web,Gender,Age,Dr_12r,F_pricevalue,F_productquality,F_innovativeness,F_CRM,F_community,,,,,,,
R_1Lc6hmXenEiIUEl,3,5,5,3,5,4,4,6,3,6,6,6,6,5,4,3,3,5,4,7,4,4,6,4,5,6,7,5,6,4,6,2,7,6,7,5,10,3,4,5,2,1,3,1,6,5,6,0,22,6,6.00,6.00,6.67,4.50,4.00,,,,,,,
R_71lE7wps8lW7nx3,5,4,4,4,5,6,6,6,5,5,7,7,7,7,5,6,6,6,6,7,5,5,7,5,6,7,7,5,6,6,5,1,6,6,6,4,10,3,4,2,5,1,6,5,6,1,6,0,21,7,6.67,6.00,6.00,5.00,5.00,,,,,,,
R_0CKawBUJ9x3gw5v,5,1,3,3,5,1,#NULL!,5,4,6,6,#NULL!,6,3,4,1,#NULL!,4,4,7,4,5,5,4,6,6,6,4,5,6,4,3,4,4,5,3,8,3,5,4,2,1,1,1,3,4,7,0,23,5,6.00,4.50,4.33,4.00,4.50,,,,,,,
R_8Hf9K7bGqV1X6uN,3,4,5,3,4,4,4,5,4,5,5,5,7,5,3,4,5,4,4,5,4,4,5,4,3,3,4,5,4,3,3,4,5,6,5,4,8,5,4,2,3,1,3,4,5,5,6,0,27,4,3.33,3.50,5.33,4.50,4.00,,,,,,,
R_eznVGBn5V6yqFOl,3,3,3,3,4,2,5,4,5,5,5,6,4,5,5,2,6,3,5,6,3,4,5,6,5,5,5,4,6,5,6,3,6,6,6,5,8,5,1,3,4,2,2,1,6,6,6,0,34,5,5.00,5.50,6.00,5.00,3.50,,,,,,,
R_0w6LpnFjWLraV7f,4,5,3,3,5,6,6,4,3,5,6,6,6,6,6,6,6,4,4,7,6,7,6,6,5,6,7,5,5,4,6,3,7,6,5,4,9,2,4,3,5,1,3,6,5,4,7,1,22,5,6.00,5.50,6.00,5.50,6.50,,,,,,,
R_9vkkzuAdNs4ZTUx,2,2,2,5,5,4,5,4,4,4,6,6,6,6,2,5,5,5,5,2,5,5,5,5,4,4,5,4,5,4,5,1,6,5,6,2,7,5,4,#NULL!,#NULL!,#NULL!,3,5,6,6,6,1,32,7,4.33,6.00,5.67,4.50,5.00,,,,,,,
R_8eTinS129KlF2U5,4,4,4,5,5,3,5,5,6,7,7,7,7,7,7,3,5,5,6,7,7,7,7,5,7,7,7,3,7,6,7,1,7,7,7,2,10,3,4,2,5,1,6,1,6,2,6,1,26,7,7.00,7.00,7.00,4.00,7.00,,,,,,,
R_0OliJ4h5DUWaENn,1,3,1,5,5,#NULL!,7,#NULL!,5,5,#NULL!,7,#NULL!,7,1,#NULL!,6,#NULL!,4,7,4,4,6,5,6,6,5,4,5,4,2,7,6,5,6,4,8,4,1,3,2,5,4,7,7,4,6,0,30,1,5.67,1.50,5.67,4.50,4.00,,,,,,,
R_7PBWVonL1l5S2up,4,5,4,3,5,4,5,4,4,6,7,7,7,7,6,5,5,4,4,6,5,4,6,4,6,6,6,4,5,6,6,3,7,5,5,3,9,4,5,3,2,1,3,6,7,6,7,1,30,5,6.00,5.50,5.67,4.00,4.50,,,,,,,
R_dcHmoiWKHA9c1b7,5,5,5,5,5,6,6,6,5,6,7,7,7,7,6,4,4,4,4,5,3,3,2,6,5,5,5,4,5,5,5,4,5,6,5,5,7,5,3,1,4,2,2,2,5,3,5,1,27,4,5.00,4.50,5.33,5.00,3.00,,,,,,,
R_6Ff2lCy7fIMV1d3,4,2,4,2,5,5,5,5,5,6,7,6,6,6,5,5,4,4,2,7,2,2,7,4,7,7,7,3,6,7,7,2,6,6,6,4,10,3,5,4,2,1,1,1,7,6,7,1,24,6,7.00,6.50,6.00,3.50,2.00,,,,,,,
R_3BOLI74MTmorG7z,2,5,2,1,5,6,7,4,#NULL!,6,7,7,7,#NULL!,6,6,6,6,#NULL!,6,4,6,6,5,6,6,6,6,7,6,6,1,7,4,3,4,10,5,4,3,2,1,1,2,3,6,5,0,22,7,6.00,6.50,4.67,5.50,5.00,,,,,,,
R_5ub1RuIZkqgdEMd,5,4,2,4,5,5,7,6,6,6,7,7,6,6,6,6,7,7,6,6,4,6,6,5,6,6,6,4,4,7,6,7,6,5,6,4,8,3,2,5,4,1,5,5,7,6,6,0,25,1,6.00,3.50,5.67,4.50,5.00,,,,,,,
R_26pCfPRtzz0TsY5,4,5,5,4,5,6,7,7,6,6,6,6,7,6,6,5,6,7,5,7,3,5,5,3,6,6,6,4,5,5,6,4,6,6,6,2,10,2,4,5,3,1,3,5,5,5,7,1,23,4,6.00,5.00,6.00,3.50,4.00,,,,,,,
R_bxc4NWM2hvne6I5,5,4,5,4,5,7,7,7,6,6,7,7,7,7,7,7,6,7,5,7,4,4,6,5,7,5,7,5,6,5,3,5,6,6,7,5,10,5,3,4,2,1,3,3,6,6,6,0,24,3,6.33,3.00,6.33,5.00,4.00,,,,,,,
R_5vVSdLsgEqhR4wJ,5,2,1,2,5,5,5,#NULL!,5,7,7,7,#NULL!,7,3,5,5,#NULL!,5,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,3,10,3,5,4,2,1,1,7,7,7,7,0,25,7,7.00,7.00,7.00,7.00,7.00,,,,,,,
R_dpeoVDphyXBbghL,4,5,2,4,5,2,7,6,2,7,6,6,6,6,4,4,6,6,4,7,5,6,6,6,6,6,6,5,6,6,4,6,7,6,7,4,9,5,3,2,4,#NULL!,6,6,4,3,6,0,26,2,6.00,3.00,6.67,5.50,5.50,,,,,,,
R_38BxllxY6Uo0Tyd,1,4,1,1,5,#NULL!,4,#NULL!,#NULL!,7,#NULL!,6,#NULL!,#NULL!,6,#NULL!,2,#NULL!,#NULL!,7,4,4,4,4,6,6,6,5,6,5,6,2,5,5,5,4,9,5,4,3,1,2,1,3,7,1,7,0,32,6,6.00,6.00,5.00,4.50,4.00,,,,,,,
R_b32UcYetiqjSXch,1,5,1,3,4,#NULL!,7,#NULL!,6,7,#NULL!,7,#NULL!,5,3,#NULL!,6,#NULL!,5,7,3,5,7,2,6,6,6,4,4,4,6,5,5,4,5,2,8,1,3,4,5,2,3,3,5,3,7,1,19,3,6.00,4.50,4.67,3.00,4.00,,,,,,,
R_9z81ihT8hBB2cFD,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,4,4,6,6,6,5,6,5,2,6,4,4,4,10,4,3,2,5,1,4,4,7,5,3,0,30,6,5.33,5.50,4.67,5.00,4.50,,,,,,,
R_1EUnvhfJNl2PlxH,3,2,3,2,5,6,6,6,6,4,7,7,7,7,3,6,6,6,6,3,7,7,4,6,6,4,3,7,6,5,6,3,6,7,6,4,8,2,3,5,4,1,4,3,7,3,7,1,33,5,4.33,5.50,6.33,6.50,7.00,,,,,,,
R_0TjO0jZGusc4uW1,2,4,4,2,4,4,6,6,2,6,5,6,6,4,4,3,5,5,4,6,4,5,4,4,6,5,5,4,5,4,4,4,5,5,6,4,8,5,3,4,2,1,4,4,6,6,6,0,31,4,5.33,4.00,5.33,4.00,4.50,,,,,,,
